s1,s2,t1,t2
2409,1267,46.13,52.68
2405,1271,46.17,52.65
2405,1275,46.26,52.62
2404,1288,46.30,52.74
2401,1288,46.23,52.90
2396,1302,46.27,52.95
2391,1297,46.36,52.81
2389,1305,46.44,52.82
2385,1316,46.37,52.68
2382,1323,46.35,52.69
2375,1326,46.33,52.71
2367,1343,46.32,52.72
2361,1333,46.35,52.64
2359,1331,46.43,52.60
2354,1324,46.51,52.57
2345,1334,46.49,52.60
2339,1329,46.51,52.72
2347,1329,46.64,52.63
2335,1336,46.60,52.50
2335,1335,46.62,52.42
2330,1332,46.69,52.60
2332,1336,46.71,52.72
2333,1335,46.82,52.59
2336,1343,46.83,52.71
2336,1341,46.99,52.72
2330,1352,46.89,52.64
2326,1356,46.90,52.75
2325,1361,46.95,52.67
2325,1369,46.90,52.68
2324,1377,46.91,52.65
2321,1384,46.96,52.67
2319,1378,46.96,52.58
2313,1382,46.97,52.50
2314,1377,46.97,52.43
2314,1387,47.02,52.36
2311,1396,46.97,52.24
2305,1391,46.97,52.43
2299,1396,46.97,52.46
2292,1417,47.02,52.43
2275,1442,47.02,52.41
2254,1471,47.07,52.34
2237,1504,47.07,52.32
2215,1533,47.06,52.26
2212,1535,47.16,52.04
2243,1522,47.20,52.09
2247,1489,47.19,51.94
2292,1402,47.23,51.89
2296,1400,47.32,51.80
2330,1345,47.31,51.86
2344,1351,47.34,51.76
2362,1342,47.27,51.78
2377,1337,47.11,51.79
2440,1330,47.10,51.75
2393,1312,47.10,51.76
2400,1299,47.09,51.87
2359,1277,46.99,51.83
2411,1270,46.99,51.94
2414,1271,47.04,52.04
2419,1257,47.04,52.09
2425,1224,46.99,52.23
2432,1264,46.94,52.27
2435,1259,46.89,52.31
2438,1251,47.00,52.29
2443,1236,46.90,52.18
2452,1212,46.85,52.12
2460,1196,46.81,52.06
2468,1172,46.72,51.96
2489,1143,46.68,51.86
2510,1118,46.70,51.82
2533,1099,46.71,51.88
2545,1086,46.53,51.93
2557,1081,46.55,51.99
2564,1067,46.47,52.09
2565,1060,46.50,52.28
2567,1073,46.52,52.42
2567,1066,46.50,52.45
2564,1066,46.52,52.38
2564,1065,46.40,52.46
2564,1067,46.33,52.43
2565,1059,46.31,52.51
2575,1067,46.25,52.59
2584,1044,46.23,52.61
2596,1036,46.12,52.48
2580,1024,46.07,52.65
